umap_1,umap_2,OmiqFilter
5.7038,6.5787,CD4/Tcm
6.4437,1.9922,CD4/Tcm
-7.9842,7.4231,Non-Plasmablasts
6.5909,1.8357,CD4/Tcm
8.5434,4.8657,CD4/Tem
7.7628,6.4983,CD4/Tnaive/Tn-like
5.0788,6.7049,CD4/Tnaive/Tn
-4.6427,6.1179,Non-Plasmablasts
8.8688,3.8193,CD4/Tcm
6.2556,0.058794,CD4/Tem
4.6792,-9.1589,CD8/Tem
3.463,-9.4978,CD8/Temra
3.9477,2.1131,CD4/Tem
5.4055,3.0248,CD4/Tcm
6.5179,1.7654,CD4/Tcm
9.9142,3.4866,CD4/Tcm
7.0583,6.396,CD4/Tnaive/Tn
3.3788,-9.6119,CD8/Temra
-7.3162,7.5197,Non-Plasmablasts
3.6818,-9.4247,CD8/Temra
-7.8973,3.7295,Non-Plasmablasts
9.6466,1.4778,CD4/Tem
-5.5664,8.7264,Non-Plasmablasts
6.3898,3.7113,CD4/Tcm
3.5468,-10.588,CD8/Tcm
9.02,3.7893,CD4/Tem
-7.8567,7.2802,Non-Plasmablasts
5.048,-9.523,CD8/Tcm
3.5649,-11.578,CD8/Tnaive/Tn
3.7307,0.87764,CD4/Tem
-7.8209,8.5069,Non-Plasmablasts
4.7736,4.6952,CD4/Tcm
5.9168,3.9328,CD4/Tcm
9.582,3.4099,CD4/Tem
-2.2055,0.69064,Non-Plasmablasts
4.7332,7.8495,CD4/Tcm
5.6083,-7.6671,CD8/Tem
6.8483,7.1625,CD4/Tcm
-6.7722,8.0631,Non-Plasmablasts
-8.6844,7.0286,Non-Plasmablasts
4.5617,-8.3611,CD8/Tcm
4.9404,2.0046,CD4/Tcm
-6.7015,4.6155,Non-Plasmablasts
8.2736,6.5908,CD4/Tnaive/Tn-like
4.5606,-9.7112,CD8/Tcm
7.0758,0.40394,CD4/Tcm
-7.1068,6.5904,Non-Plasmablasts
5.4751,7.7735,CD4/Tnaive/Tn
6.6984,3.035,CD4/Tcm
-6.7028,8.2746,Non-Plasmablasts
4.5299,1.2264,CD4/Tem
4.5878,-9.6102,CD8/Tnaive/Tn-like
4.0526,2.2678,CD4/Tcm
6.838,7.0813,CD4/Tcm
-6.2549,7.9103,Non-Plasmablasts
6.396,8.2784,CD4/Tnaive/Tn
5.1297,6.1592,CD4/Tcm
6.7678,2.5786,CD4/Tcm
4.0229,-13.42,CD8/Tnaive/Tn
6.6873,7.5047,CD4/Tnaive/Tn
4.0793,-11.583,CD8/Tnaive/Tn
-7.1059,7.5159,Non-Plasmablasts
-7.135,8.6915,Non-Plasmablasts
-5.6844,8.2892,Non-Plasmablasts
4.702,4.4934,CD4/Tcm
-8.1517,5.0919,Non-Plasmablasts
-7.7819,4.2148,Non-Plasmablasts
5.5645,7.819,CD4/Tnaive/Tn
4.3591,-13.417,CD8/Tnaive/Tn
5.5212,7.7154,CD4/Tnaive/Tn
4.6806,-12.213,CD8/Tnaive/Tn
4.4293,-13.412,CD8/Tnaive/Tn
-6.5299,7.1976,Non-Plasmablasts
5.8415,1.9261,CD4/Tcm
5.0743,4.9095,CD4/Tcm
6.3039,7.4621,CD4/Tnaive/Tn
-7.1484,6.262,Non-Plasmablasts
-8.2062,6.1045,Non-Plasmablasts
-7.5631,7.5804,Non-Plasmablasts
4.9309,9.0359,CD4/Tnaive/Tn
5.3646,8.9119,CD4/Tnaive/Tn
-6.4264,7.0083,Non-Plasmablasts
-7.4234,6.148,Non-Plasmablasts
-7.7876,7.5175,Non-Plasmablasts
9.2484,2.3482,CD4/Tem
5.826,7.1027,CD4/Tnaive/Tn
7.7735,6.3825,CD4/Tnaive/Tn
-5.6069,8.7025,Non-Plasmablasts
6.3524,-6.265,CD8/Tem
5.6157,5.3892,CD4/Tcm
8.9138,0.92977,CD4/Tem
6.1845,3.0142,CD4/Tcm
8.9428,2.2388,CD4/Tem
2.2295,-4.0512,ILCs
5.2385,2.9012,CD4/Tcm
5.4181,-6.1487,CD8/Tem
6.435,3.4568,CD4/Tcm
3.9977,-9.8787,CD8/Tem
5.8173,4.5994,CD4/Tcm
4.5164,2.6721,CD4/Tcm
6.305,7.6994,CD4/Tnaive/Tn
9.403,4.1312,CD4/Tcm
7.157,4.9694,CD4/Tnaive/Tn
3.6551,-11.35,CD8/Tcm
5.0814,-9.8209,CD8/Tcm
6.516,7.6271,CD4/Tnaive/Tn
8.5026,5.8993,CD4/Tcm
3.38,-12.888,CD8/Tnaive/Tn
7.3022,4.5315,CD4/Tcm
-6.7301,8.4731,Non-Plasmablasts
-5.0055,8.5535,Non-Plasmablasts
9.0608,1.3126,CD4/Tem
2.5862,-3.9901,ILCs
-6.9765,8.3814,Non-Plasmablasts
5.1109,7.8127,CD4/Tcm
9.2822,5.4155,CD4/Tcm
-8.5876,4.7357,Non-Plasmablasts
5.5434,8.7265,CD4/Tcm
6.2179,-6.7823,CD8/Tem
4.5386,-12.371,CD8/Tnaive/Tn
7.0743,1.3082,CD4/Tcm
6.4991,2.372,CD4/Tcm
-5.9384,7.2139,Non-Plasmablasts
3.4009,0.7628,CD4/Tem
7.2835,4.9944,CD4/Tcm
5.4523,4.8511,CD4/Tcm
8.2122,3.8246,CD4/Tcm
-2.7327,-2.969,Monocytes
5.7251,6.9151,CD4/Tnaive/Tn
8.2376,4.6425,CD4/Tcm
9.0701,1.9855,CD4/Tem
-6.0173,8.8264,DCs
6.541,2.7005,CD4/Tcm
4.2936,-10.571,CD8/Tcm
9.6209,2.1376,CD4/Tcm
6.4846,-7.7401,CD8/Tem
5.1637,1.1858,CD4/Tem
-6.7532,4.8877,Non-Plasmablasts
-5.6848,7.829,Non-Plasmablasts
5.7533,-7.0455,CD8/Tem
4.5874,1.1309,CD4/Tem
-7.5975,5.4014,Non-Plasmablasts
5.0298,8.3373,CD4/Tcm
4.3455,-10.765,CD8/Tnaive/Tn
4.7204,-9.7948,CD8/Tcm
3.966,2.0018,CD4/Tem
5.6116,7.2882,CD4/Tnaive/Tn
6.0644,7.1205,CD4/Tcm
7.459,3.1576,CD4/Tem
3.4758,-12.379,CD8/Tnaive/Tn
5.3149,-9.17,CD8/Tem
5.8872,7.0341,CD4/Tnaive/Tn
7.7855,2.8008,CD4/Tcm
6.105,7.7551,CD4/Tnaive/Tn
10.4,2.6875,CD4/Tcm
7.169,1.8725,CD4/Tcm
5.8324,-8.9834,CD8/Tcm
7.6093,1.0726,CD4/Tcm
-7.9767,7.2102,Non-Plasmablasts
-4.4268,7.1489,Non-Plasmablasts
-7.5682,6.7699,Non-Plasmablasts
-7.8605,5.0291,Non-Plasmablasts
7.8793,3.5801,CD4/Tcm
-6.7215,8.7292,Non-Plasmablasts
4.0657,-12.943,CD8/Tnaive/Tn
-8.3751,5.9163,Non-Plasmablasts
5.8945,7.1111,CD4/Tnaive/Tn
3.9353,-13.003,CD8/Tnaive/Tn
-4.6937,6.6774,Non-Plasmablasts
6.1237,3.7032,CD4/Tcm
6.7,7.5624,CD4/Tnaive/Tn
4.3105,2.1334,CD4/Tcm
-4.492,5.5567,Non-Plasmablasts
-7.0206,5.2397,Non-Plasmablasts
-1.7148,-5.9816,NK cells
8.414,6.2612,CD4/Tnaive/Tn-like
5.3793,4.6807,CD4/Tcm
-7.5515,5.776,Non-Plasmablasts
-7.7955,6.307,Non-Plasmablasts
6.2707,6.6453,CD4/Tcm
-4.6769,7.0914,Non-Plasmablasts
-6.2643,6.2494,Non-Plasmablasts
9.1333,4.4817,CD4/Tem
4.4977,2.315,CD4/Tcm
-7.2706,8.7431,Non-Plasmablasts
9.8416,3.0149,CD4/Tcm
-8.4195,6.8958,Non-Plasmablasts
4.4914,5.7117,CD4/Tcm
4.1251,-13.001,CD8/Tnaive/Tn
3.7974,-12.608,CD8/Tnaive/Tn
3.5656,-8.2962,CD8/Tem
8.5153,3.2299,Immature granulocytes
-7.0486,8.0098,Non-Plasmablasts
5.3533,8.0513,CD4/Tcm
7.9131,0.94864,CD4/Tem
2.9488,-12.259,CD8/Tnaive/Tn
-3.9556,7.291,Non-Plasmablasts
7.5219,4.6973,CD4/Tem
8.2683,4.9994,CD4/Tnaive/Tn
6.2626,7.2744,CD4/Tcm
10.709,3.1391,CD4/Tem
6.6605,2.5616,CD4/Tcm
-7.7252,2.8765,Non-Plasmablasts
5.4729,3.4782,CD4/Tcm
5.7776,1.2415,CD4/Tcm
-6.7088,4.4135,Non-Plasmablasts
5.621,6.3901,CD4/Tnaive/Tn
8.2038,1.4234,CD4/Tem
5.0923,8.1065,CD4/Tcm
4.9986,-8.4887,CD8/Tem
-4.9277,6.1237,Non-Plasmablasts
-6.2239,8.9354,Non-Plasmablasts
4.095,-11.576,CD8/Tnaive/Tn
4.6455,-9.4911,CD8/Tcm
4.8843,4.1668,CD4/Tcm
-7.0484,7.7569,Non-Plasmablasts
-7.2878,7.88,Non-Plasmablasts
