gene,modality,adt_number ,cluster,comparison,source,notes
KIR2DL3,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
KIR2DL4,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
KIR2DS1,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
KIR2DS3,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
KIR2DS4,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
KIR2DS5,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
KIR3DL1,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
KIR3DL2,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
KLRC1,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
KLRC2,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
KLRC3,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
KRAS,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
LCK,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
LCP2,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
SHC4,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
SH2D1A,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
MICA,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
MICB,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
NFATC1,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
NFATC2,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
NFATC3,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
NFATC4,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
NRAS,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
PAK1,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
CD244,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
PIK3CA,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
PIK3CB,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
PIK3CD,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
PIK3CG,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
PIK3R1,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
PIK3R2,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
PLCG1,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
SHC3,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
PLCG2,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
PPP3CA,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
PPP3CB,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
PPP3CC,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
PPP3R1,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
PPP3R2,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
PRF1,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
PRKCA,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
PRKCB,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
PRKCG,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
MAPK1,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
MAPK3,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
MAP2K1,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
MAP2K2,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
KIR2DL5A,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
PTPN6,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
PTPN11,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
RAC1,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
RAC2,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
RAC3,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
RAF1,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
BID,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
CHP2,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
SH3BP2,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
SHC1,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
SOS1,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
SOS2,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
BRAF,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
SYK,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
TNF,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
TYROBP,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
VAV1,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
VAV2,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
ZAP70,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
ULBP3,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
ULBP2,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
ULBP1,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
CASP3,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
PIK3R3,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
TNFSF10,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
TNFRSF10D,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
TNFRSF10C,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
TNFRSF10B,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
TNFRSF10A,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
CD247,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
NCR2,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
NCR1,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
CD48,RNA,,"NK, NK/ILC",ND_T1D,KEGG_NK_cytotoxicity,
